Year,Devon,Mt Oxford
1977,648,220
1978,1879,1155
1979,471,1716
1980,,334
1981,,2347
1982,1091,1320
1983,1181,2051
1984,1415,1372
1985,1516,533
1986,958,767
1987,1448,1162
1988,2346,1418
1989,2665,750
1990,1802,1853
1991,2138,4961
1992,4151,2152
1993,7416,3019
1994,4100,1665
1995,3371,3127
1996,5257,5761
1997,1086,3203
1998,846,3523
1999,5553,2088
2000,4583,3204
2001,5762,1080
2002,21534,1765
2003,5584,3706
2004,4528,5045
2005,16986,5927
2006,7759,10667
2007,3968,13003
2008,12517,15702
2009,7346,14207
2010,19461,7434
2011,5594,10495
2012,17039,10925
2013,10274,9994
2014,6500,17976
2015,,6945
2016,,20068
